brand,projects,category
Alpha ESS Co Ltd,1546,battery_brand
Sungrow Power Supply Co Ltd,1262,battery_brand
Shanghai SIGEN New Energy Technology Co Ltd,799,battery_brand
Guangzhou Sanjing Electric Co Ltd,499,battery_brand
SUNGROW AUSTRALIA GROUP PTY LTD,498,battery_brand
Tesla Inc,394,battery_brand
GoodWe Technologies Co Ltd,345,battery_brand
Anker Innovations Limited,287,battery_brand
SolaX Power Network Technology (Zhe jiang) Co Ltd,221,battery_brand
Shenzhen BYD Electronics Co Ltd,110,battery_brand
GoodWe Technologies Co Ltd,19914,inverter_brand
Sungrow Power Supply Co Ltd,15710,inverter_brand
Guangzhou Sanjing Electric Co Ltd,3873,inverter_brand
Shenzhen Growatt New Energy Co Ltd,2657,inverter_brand
Fronius Australia Pty Ltd,2460,inverter_brand
FOXESS Co Ltd,1596,inverter_brand
Alpha ESS Co Ltd,1556,inverter_brand
Ginlong Technologies Co Ltd,1305,inverter_brand
SolarEdge Technologies Ltd,1278,inverter_brand
SolaX Power Network Technology (Zhe jiang) Co Ltd,1247,inverter_brand
Jinko Solar Co Ltd,12692,panel_brand
Risen Energy Co Ltd,5960,panel_brand
JA Solar Technology Co Ltd,5455,panel_brand
LONGi Green Energy Technology Co Ltd,5454,panel_brand
CSI Solar Co Ltd,4169,panel_brand
Shanghai JA Solar Technology Co Ltd,4103,panel_brand
DAS SOLAR CO LTD,3008,panel_brand
AE SOLAR GmbH,2246,panel_brand
AE Solar GmbH,1837,panel_brand
Trina Solar Co Ltd,1718,panel_brand
