state,package,pv_dc_kw,inverter_ac_kw,battery_kwh,stc_per_kw,stc_price,stc_value,battery_rebate,price_base,price_net,annual_generation_kwh,annual_savings_aud,payback_years_net
ACT,A 入门,10.0,8.0,9.6,9.615384615384615,35.0,3365.3846153846152,0.0,25391.999999999996,22026.615384615383,14000.0,3276.0,6.723631069784916
ACT,B 均衡,13.2,10.0,13.5,9.615384615384615,35.0,4442.3076923076915,2000.0,33706.5,27264.19230769231,18480.0,4324.32,6.304850776004622
ACT,C 高配,15.0,12.0,20.0,9.615384615384615,35.0,5048.076923076923,2000.0,43021.5,35973.42307692308,21000.0,4913.999999999999,7.320598916752765
NSW,A 入门,10.0,8.0,9.6,9.58498023715415,35.0,3354.7430830039525,0.0,25391.999999999996,22037.256916996044,14000.0,3472.0,6.347136208812225
NSW,B 均衡,13.2,10.0,13.5,9.58498023715415,35.0,4428.260869565217,1200.0,33706.5,28078.239130434784,18480.0,4583.040000000001,6.126553364237445
NSW,C 高配,15.0,12.0,20.0,9.58498023715415,35.0,5032.114624505929,1200.0,43021.5,36789.38537549407,21000.0,5207.999999999999,7.064014088996559
NT,A 入门,10.0,8.0,9.6,10.695187165775401,35.0,3743.3155080213905,0.0,25391.999999999996,21648.684491978605,17000.0,4335.0,4.99392952525458
NT,B 均衡,13.2,10.0,13.5,10.695187165775401,35.0,4941.176470588234,1500.0,33706.5,27265.323529411766,22440.0,5722.2,4.764832324877104
NT,C 高配,15.0,12.0,20.0,10.695187165775401,35.0,5614.973262032086,1500.0,43021.5,35906.52673796791,25500.0,6502.5,5.521957206915481
QLD,A 入门,10.0,8.0,9.6,9.577922077922077,35.0,3352.2727272727266,0.0,25391.999999999996,22039.72727272727,15000.0,3465.0,6.360671651580741
QLD,B 均衡,13.2,10.0,13.5,9.577922077922077,35.0,4424.999999999999,1000.0,33706.5,28281.5,19800.0,4573.8,6.18337050155232
QLD,C 高配,15.0,12.0,20.0,9.577922077922077,35.0,5028.409090909091,1000.0,43021.5,36993.09090909091,22500.0,5197.499999999999,7.1174778083869015
SA,A 入门,10.0,8.0,9.6,9.545454545454547,35.0,3340.9090909090914,0.0,25391.999999999996,22051.090909090904,15000.0,4020.0000000000005,5.485345997286294
SA,B 均衡,13.2,10.0,13.5,9.545454545454547,35.0,4410.000000000001,2000.0,33706.5,27296.5,19800.0,5306.400000000001,5.144071310116086
SA,C 高配,15.0,12.0,20.0,9.545454545454547,35.0,5011.363636363637,2000.0,43021.5,36010.13636363636,22500.0,6030.0,5.971830242725765
TAS,A 入门,10.0,8.0,9.6,8.181818181818182,35.0,2863.6363636363635,0.0,25391.999999999996,22528.363636363632,12000.0,2604.0,8.651445328864682
TAS,B 均衡,13.2,10.0,13.5,8.181818181818182,35.0,3779.9999999999995,1500.0,33706.5,28426.5,15840.0,3437.28,8.270056556346878
TAS,C 高配,15.0,12.0,20.0,8.181818181818182,35.0,4295.454545454545,1500.0,43021.5,37226.045454545456,18000.0,3906.0000000000005,9.5304775869292
VIC,A 入门,10.0,8.0,9.6,8.229665071770336,35.0,2880.3827751196177,2400.0,25391.999999999996,20111.617224880378,13000.0,2821.0000000000005,7.129251054548165
VIC,B 均衡,13.2,10.0,13.5,8.229665071770336,35.0,3802.105263157895,2950.0,33706.5,26954.394736842107,17160.0,3723.7200000000003,7.238566470315197
VIC,C 高配,15.0,12.0,20.0,8.229665071770336,35.0,4320.574162679426,2950.0,43021.5,35750.925837320574,19500.0,4231.500000000001,8.448759503088873
WA,A 入门,10.0,8.0,9.6,9.545454545454547,35.0,3340.9090909090914,0.0,25391.999999999996,22051.090909090904,16000.0,3488.0,6.321987072560466
WA,B 均衡,13.2,10.0,13.5,9.545454545454547,35.0,4410.000000000001,1000.0,33706.5,28296.5,21120.0,4604.159999999999,6.145855052821798
WA,C 高配,15.0,12.0,20.0,9.545454545454547,35.0,5011.363636363637,1000.0,43021.5,37010.13636363636,24000.0,5232.0,7.07380282179594
