pvd_id,state,install_month,pv_dc_kw,pv_ac_kw,battery_kwh,stc_count,stc_price,stc_value,battery_rebate,price_base,price_net,annual_generation_kwh,annual_savings_aud,payback_years_net
120813,ACT,2024-07,9.9,10.0,,95.0,35.0,3325.0,0.0,,,13860.0,2023.56,
212370,NSW,2024-05,13.26,15.0,13.5,128.0,35.0,4480.0,0.0,35346.04349999999,30866.043499999992,18564.0,4603.872,6.704366129206023
213527,VIC,2024-03,6.66,5.0,,55.0,35.0,1925.0,0.0,,,8658.0,1151.5140000000001,
219557,WA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,10624.0,1296.128,
219558,WA,2023-12,6.64,5.0,,73.0,35.0,2555.0,0.0,,,10624.0,1296.128,
220255,SA,2024-05,13.2,9.99,,127.0,35.0,4445.0,0.0,,,19800.0,3405.6000000000004,
223459,SA,2024-01,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
227963,SA,2023-12,10.38,8.0,,114.0,35.0,3990.0,0.0,,,15570.000000000002,2678.0400000000004,
230498,NSW,2023-05,13.28,5.0,,146.0,35.0,5110.0,0.0,,,18592.0,2825.984,
233431,VIC,2023-12,15.77,15.0,,174.0,35.0,6090.0,0.0,,,20501.0,2726.6330000000003,
234058,NSW,2023-12,26.55,20.0,,293.0,35.0,10255.0,0.0,,,37170.0,5649.84,
235110,NSW,2024-04,6.23,5.0,,60.0,35.0,2100.0,0.0,,,8722.0,1325.744,
235243,SA,2024-04,6.64,5.0,,64.0,35.0,2240.0,0.0,,,9960.0,1713.1200000000001,
239611,QLD,2024-01,13.32,5.0,,128.0,35.0,4480.0,0.0,,,19980.0,2777.2200000000003,
240172,SA,2023-12,6.63,5.0,,73.0,35.0,2555.0,0.0,,,9945.0,1710.5400000000002,
240315,NSW,2024-12,10.79,10.0,,104.0,35.0,3640.0,0.0,,,15105.999999999998,2296.1119999999996,
240815,WA,2024-01,6.64,5.0,,64.0,35.0,2240.0,0.0,,,10624.0,1296.128,
241265,VIC,2023-04,2.34,3.0,28.73,25.0,35.0,875.0,0.0,35043.6165,34168.6165,3042.0,660.114,51.761690404990645
244420,NSW,2024-05,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244421,NSW,2024-04,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244422,NSW,2024-05,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244423,NSW,2024-03,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244424,NSW,2024-08,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244425,NSW,2024-05,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244426,NSW,2024-03,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244429,NSW,2024-05,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
244430,NSW,2024-04,1.66,2.0,,16.0,35.0,560.0,0.0,,,2324.0,353.248,
