小时辐射/月,1 月,2 月,3 月,4 月,5 月,6 月,7 月,8 月,9 月,10 月,11 月,12 月
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0.015356560802,0,0,0,0,0,0,0,0,0.008095219902,0.0394364964224,0.03753928304544
7,0.072455075726,0.0518409256992,0.0293677303194,0.00050332514584,0,0,0,0,0.0328891311716,0.0742095981396,0.0979057744544,0.09489152821632
8,0.13254895478,0.1139783330862,0.09170103379756,0.06785707185774,0.0472628440592,0.01493514142428,0.01931799875566,0.06369878586324,0.1038078326626,0.1385443942806,0.1596591536672,0.15757179898944
9,0.18957545002,0.1748056446906,0.15148473812076,0.12621218116496,0.100570141441,0.0840404631605,0.08214569074316,0.11670252685938,0.1597995561844,0.1923178317984,0.212358235232,0.21379968894768
10,0.236345687534,0.223922509338,0.19704276121728,0.16993345194144,0.1419080552659,0.12761340937422,0.1247194680116,0.16398606557652,0.2022436125776,0.2303243768826,0.2511638295584,0.25793991625952
11,0.269464921308,0.2583569194602,0.22628876001204,0.19397743019204,0.16711376711568,0.15177828817382,0.15352834790722,0.19043766763032,0.2252286696682,0.248509588173,0.2718915211232,0.28444498658752
12,0.282009440812,0.2738602779924,0.23608138488308,0.19879982922448,0.17097607034046,0.1576083248355,0.16064130922906,0.19469835163086,0.2254568263486,0.2511635906472,0.2770308154944,0.29422991573536
13,0.27450957281,0.2677520820546,0.2261839356436,0.18433943381832,0.15542782402532,0.14480578589554,0.1483426801989,0.17953461540762,0.2065924171828,0.2311543931004,0.2581549068384,0.28080518202528
14,0.244657413792,0.2381526290022,0.19756350162824,0.15489491278668,0.1256016910764,0.11491819296188,0.1203691919595,0.14664865248726,0.1718538341322,0.1943809173768,0.2209589654272,0.2460075699488
15,0.196315837718,0.1888112722386,0.15187360271336,0.11112603017208,0.0837856848983,0.07530579421904,0.08240566739966,0.10275910045566,0.1239547589258,0.1447097410836,0.1680893697824,0.19233564664512
16,0.138238509816,0.1303796600832,0.0977064556798,0.06266398065708,0.04005389436202,0.03417703202144,0.04048356495018,0.05604411517716,0.0724985136568,0.0891806314014,0.10904375416,0.13150566613184
17,0.075823632764,0.0683628753258,0.04278863091096,0.018874692969,0.0095789217909,0.00630779501044,0.00949088113996,0.01553814946332,0.0235174226782,0.034157046,0.0501106778304,0.06900772323104
18,0.028392123606,0.025448024217,0.01467203015036,0.00351307348414,0,0,0,0.00189633372522,0.006879269606,0.0143254650924,0.021859905056,0.02808862166352
19,0.013300726186,0.0080884174404,0.0010313365282,0,0,0,0,0,0,0.0002288522082,0.0052245514112,0.01214168571968
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
